Timestamp,Index,ECU,Application ID,Log Message
2025-10-31 10:00:01.234,1,ECU1,APP_ENGINE,Engine started successfully
2025-10-31 10:00:02.456,2,ECU1,APP_ENGINE,Engine RPM: 800
2025-10-31 10:00:03.789,3,ECU2,APP_BRAKE,ABS system initialized
2025-10-31 10:00:04.012,4,ECU3,APP_SAFETY,Airbag system ready
2025-10-31 10:00:05.345,5,ECU1,APP_ENGINE,Fuel injection started
2025-10-31 10:00:06.678,6,ECU2,APP_BRAKE,Brake pressure normal
2025-10-31 10:00:07.901,7,ECU4,APP_NAV,GPS signal acquired
2025-10-31 10:00:08.234,8,ECU1,APP_ENGINE,Engine temperature: 85C
2025-10-31 10:00:09.567,9,ECU3,APP_SAFETY,Seatbelt sensor: driver engaged
2025-10-31 10:00:10.890,10,ECU2,APP_BRAKE,WARNING: Brake pad wear detected
2025-10-31 10:00:11.123,11,ECU1,APP_ENGINE,Engine RPM: 1500
2025-10-31 10:00:12.456,12,ECU4,APP_NAV,Route calculation completed
2025-10-31 10:00:13.789,13,ECU1,APP_ENGINE,ERROR: Engine temperature high: 105C
2025-10-31 10:00:14.012,14,ECU3,APP_SAFETY,Collision detection active
2025-10-31 10:00:15.345,15,ECU2,APP_BRAKE,ABS activated
2025-10-31 10:00:16.678,16,ECU1,APP_ENGINE,Engine RPM: 2000
2025-10-31 10:00:17.901,17,ECU4,APP_NAV,Traffic update received
2025-10-31 10:00:18.234,18,ECU3,APP_SAFETY,Lane departure warning
2025-10-31 10:00:19.567,19,ECU1,APP_ENGINE,Fuel level: 45%
2025-10-31 10:00:20.890,20,ECU2,APP_BRAKE,Brake assist engaged
2025-10-31 10:00:21.123,21,ECU1,APP_ENGINE,CRITICAL: Engine overheat protection activated
2025-10-31 10:00:22.456,22,ECU4,APP_NAV,GPS signal lost
2025-10-31 10:00:23.789,23,ECU3,APP_SAFETY,Airbag deployment ready
2025-10-31 10:00:24.012,24,ECU2,APP_BRAKE,Brake fluid level low
2025-10-31 10:00:25.345,25,ECU1,APP_ENGINE,Engine RPM: 800
2025-10-31 10:00:26.678,26,ECU1,APP_ENGINE,Engine temperature: 90C
2025-10-31 10:00:27.901,27,ECU4,APP_NAV,GPS signal acquired
2025-10-31 10:00:28.234,28,ECU3,APP_SAFETY,All safety systems operational
2025-10-31 10:00:29.567,29,ECU2,APP_BRAKE,Brake pressure normal
2025-10-31 10:00:30.890,30,ECU1,APP_ENGINE,Fuel injection normal
